slug	verdict	year	posts_that_year	yield_pct	ok	gated	short	median_words	claim_sentences	specificity
celiafarber	SKIP-too-gated	2021	185	0	0	0	4	0	0	0
danielmcadams	SKIP-too-new	2022,2023,2024,2025,2026								
gilbertdoctorow	SKIP-too-gated	2021	1	0	0	0	1	0	0	0
chrishedges	SKIP-too-new	2022,2023,2024,2025,2026								
antonwahlman	CANDIDATE	2021	5	100	4	0	0	1670	2	102
donaldjeffries	CANDIDATE	2021	28	100	4	0	0	2208	1	59
greenwald	SKIP-too-gated	2021	129	0	0	4	0	0	0	0
scottritter	SKIP-too-new	2022,2023,2024,2025,2026								
nancyrommelmann	WEAK-no-claims	2021	64	75	3	0	1	921	0	105
daniellarison	SKIP-too-gated	2021	260	25	1	3	0	814	1	77
alexepstein	CANDIDATE	2021	26	100	4	0	0	1023	1	231
korybko	SKIP-too-new	2022,2023,2024,2025,2026								
mearsheimer	SKIP-too-new	2023,2024,2025,2026								
leadlagreport	SKIP-too-new	2022,2023,2024,2025,2026								
againstcronycapitalism	SKIP-too-new	2023,2024,2025,2026								
jonrappoport	SKIP-too-new	2022,2023,2024,2025,2026								
bigserge	SKIP-too-new	2022,2023,2024,2025,2026								
alexberenson	SKIP-too-gated	2021	347	0	0	4	0	0	0	0
peacelibertyprosperity	SKIP-too-new	2022,2023,2024,2025,2026								
kucinichreport	SKIP-too-new	2023,2024,2025,2026								
naomiwolf	SKIP-too-new	2022,2023,2024,2025,2026								
elisabeth140	SKIP-too-gated	2021	2	50	1	0	1	1213	0	46
elizabethp	SKIP-too-new	2022,2023								
parallelsystems	SKIP-too-new	2024,2025,2026								
monicaperezshow	SKIP-too-new	2024,2025,2026								
geopoliticsandempire	SKIP-too-new	2022,2023,2024,2025,2026								
michaelyon	SKIP-too-gated	2021	36	50	2	0	2	519	1	136
sarasomers	SKIP-too-new	2022,2023,2024,2025,2026								
versaillescentury	SKIP-too-new	2024,2025,2026								
juicyhistory	SKIP-too-new	2022,2023,2024,2025,2026								
nigellaeatseverything	SKIP-too-new	2022,2023,2024								
joelbowman	CANDIDATE	2021	24	100	4	0	0	4546	5	107
thedefiant	CANDIDATE	2021	400	100	4	0	0	1812	2	294
